P_CUSTOMER_NAME,P_INVOICE_NUM,P_INVOICE_DATE,P_INVOICE_AMOUNT,BILL_CUSTOMER_NAME,BILL_ACCOUNT_NUMBER,BILL_SITE,BILL_PARTY_SITE_NUMBER,SHIP_CUSTOMER_NAME,SHIP_SITE_NUMBER,BUSINESS_UNIT,TRANSACTION_TYPE_NAME,TRANSACTION_NUMBER,CURRENCY,TRANSACTION_DATE,TOTAL_AMOUNTS,BATCH_SOURCE_NAME,AMOUNT_DUE_ORIGINAL,AMOUNT_DUE_REMAINING,TRANSACTION_TOTAL,INVOICE_TYPE,INVOICE_STATUS,DOCUMENT_NUMBER
,,,,"Accenture Solutions",200049,76052,125066,"Accenture Solutions",300049,QC12-KA,"Proforma Invoice",1301044,INR,2023-08-23T00:00:00.000+00:00,111,Manual,111,111,111,INV,OPEN,
,,,,"Amazon Digital Services",200123,77,300123,"Amazon Digital Services",300123,QC12-KA,"Proforma Invoice",1301035,INR,2023-08-23T00:00:00.000+00:00,1,Manual,1,1,1,INV,OPEN,
,,,,HSB_New_Customer_Test,Sup_224402,Sup_212687,Sup_240627,HSB_New_Customer_Test,Sup_240627,HSB_BU,"BTZ_INVOICE 2",INV9,USD,2025-11-04T00:00:00.000+00:00,2000,ADNOC_TS,2000,2000,2000,INV,OPEN,
,,,,Reliance_Customer,196355,186597,226051,Reliance_Customer,226051,"Reliance BU",Reliance_INV,10000011,AUD,2025-04-27T00:00:00.000+00:00,18000,Reliance_TS,18000,18000,18000,INV,OPEN,10000011
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",6001,SAR,2024-10-06T00:00:00.000+00:00,5250,"LPG TRANSACTION SOURCE",5250,5250,5250,INV,OPEN,
,,,,"ASIAN PAINTS",178372,168602,207941,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",16001,SAR,2024-10-23T00:00:00.000+00:00,45000,"LPG TRANSACTION SOURCE",45000,45000,45000,INV,OPEN,
,,,,"LPG_CUSTOMER KSA",181346,171591,211720,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",20001,SAR,2024-11-13T00:00:00.000+00:00,1500,"LPG TRANSACTION SOURCE",1500,400,1500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-100,SAR,2025-01-29T00:00:00.000+00:00,1500,"LPG IMPORT SOURCE",1500,1500,1500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-101,SAR,2025-01-29T00:00:00.000+00:00,1550,"LPG IMPORT SOURCE",1550,1550,1550,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-104,SAR,2025-01-28T00:00:00.000+00:00,1700,"LPG IMPORT SOURCE",1700,1700,1700,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-105,SAR,2025-01-28T00:00:00.000+00:00,1750,"LPG IMPORT SOURCE",1750,1750,1750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-106,SAR,2025-01-28T00:00:00.000+00:00,1800,"LPG IMPORT SOURCE",1800,1800,1800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-107,SAR,2025-01-28T00:00:00.000+00:00,1850,"LPG IMPORT SOURCE",1850,1850,1850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-100,SAR,2025-01-28T00:00:00.000+00:00,1500,"LPG IMPORT SOURCE",1500,1500,1500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-108,SAR,2025-01-28T00:00:00.000+00:00,1900,"LPG IMPORT SOURCE",1900,1900,1900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-101,SAR,2025-01-28T00:00:00.000+00:00,1550,"LPG IMPORT SOURCE",1550,1550,1550,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-102,SAR,2025-01-28T00:00:00.000+00:00,1600,"LPG IMPORT SOURCE",1600,1600,1600,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-103,SAR,2025-01-28T00:00:00.000+00:00,1650,"LPG IMPORT SOURCE",1650,1650,1650,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-109,SAR,2025-01-28T00:00:00.000+00:00,1950,"LPG IMPORT SOURCE",1950,1950,1950,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-110,SAR,2025-01-28T00:00:00.000+00:00,2000,"LPG IMPORT SOURCE",2000,2000,2000,INV,OPEN,
