P_CUSTOMER_NAME,P_RECEIPT_AMOUNT,P_RECEIPT_NUMBER,P_RECEIPT_DATE,BILL_CUSTOMER_NAME,BILL_CUSTOMER_NUMBER,BUSINESS_UNIT,RECEIPT_METHOD,RECEIPT_NUMBER,RECEIPT_DATE,RECEIPT_AMOUNT,APPLIED_AMOUNT,CURRENCY,RECEIPT_STATUS_CODE,UNAPPLIED_AMOUNT
,,,,"Netcarrots. Com",201748,QC12-KA,"QC MIG",Unallocated2,31-03-2021,2243,0,INR,UNAPP,
,,,,"Sterling Holidays Resorts India",202409,QC12-KA,"QC MIG",42836,31-03-2021,88000,0,INR,UNAPP,
,,,,"Apptronics Retail",200241,QC12-KA,"QC MIG",909,31-03-2021,28788,0,INR,UNAPP,
,,,,"Open-Silicon Research",201847,QC12-KA,"QC MIG",4304,31-03-2021,14940,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG","Unallocated 03.05.2017",31-03-2021,1796,0,INR,UNAPP,
,,,,"In2 Marketing & Consulting",201228,QC12-KA,"QC MIG",1558,31-03-2021,25303.57,0,INR,UNAPP,
,,,,"Watanmal India",202731,QC12-KA,"QC MIG",1731,31-03-2021,6488,0,INR,UNAPP,
,,,,"Phani Kumar",201946,QC12-KA,"QC MIG",11.05.2017,31-03-2021,467650,0,INR,UNAPP,
,,,,"Groupm Media India",201077,QC12-KA,"QC MIG",QC-INV-AMZN-867-2017-18,31-03-2021,68444,0,INR,UNAPP,
,,,,"Mysmartprice Web Technology",201713,QC12-KA,"QC MIG",2571,31-03-2021,35573,0,INR,UNAPP,
,,,,"Future Mobile",200927,QC12-KA,"QC MIG",3237,31-03-2021,9279,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",3826,31-03-2021,17,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",17-18/Jul/JV0163,31-03-2021,17603,0,INR,UNAPP,
,,,,"S R B C & Co",202185,QC12-KA,"QC MIG",QCAMZN2426201718,31-03-2021,3760,0,INR,UNAPP,
,,,,"Yes Bank",202781,QC12-KA,"QC MIG",42976,31-03-2021,21000,0,INR,UNAPP,
,,,,"Red Box Rewards",202097,QC12-KA,"QC MIG",QCCRNT0258201718,31-03-2021,42440,0,INR,UNAPP,
,,,,"Timken India",202551,QC12-KA,"QC MIG",QC-INV-3092-2016-17,31-03-2021,80387.02,0,INR,UNAPP,
,,,,"Wells Fargo India Solutions",202741,QC12-KA,"QC MIG",42978,31-03-2021,3321.63,0,INR,UNAPP,
,,,,"Skoda Auto Volkswagen India",202334,QC12-KA,"QC MIG",8641,31-03-2021,1221,0,INR,UNAPP,
,,,,"Grofers India",201072,QC12-KA,"QC MIG",March'18,31-03-2021,6236.23,1065,INR,UNAPP,5171.23
,,,,"Ppd Pharmaceutical Development India",201989,QC12-KA,"QC MIG",9563,31-03-2021,10329,0,INR,UNAPP,
,,,,"Spontaneous Communications",202373,QC12-KA,"QC MIG",43007,31-03-2021,19337,0,INR,UNAPP,
,,,,"Olympia Industries",201823,QC12-KA,"QC MIG",9725,31-03-2021,51610,0,INR,UNAPP,
,,,,"Rs Enterprises",202176,QC12-KA,"QC MIG",43011,31-03-2021,13184,0,INR,UNAPP,
,,,,"Hardtrac Computer Services",201105,QC12-KA,"QC MIG",43012,31-03-2021,26440,0,INR,UNAPP,
,,,,"Strides Commerce",202418,QC12-KA,"QC MIG",43013,31-03-2021,36957,0,INR,UNAPP,
,,,,"Dbm Marketing India",200651,QC12-KA,"QC MIG",43017,31-03-2021,43594,0,INR,UNAPP,
,,,,"Royal Business Outsourcing",202171,QC12-KA,"QC MIG",43021,31-03-2021,84083,0,INR,UNAPP,
,,,,"The Dressing Lounge",202519,QC12-KA,"QC MIG",10829,31-03-2021,14005,0,INR,UNAPP,
,,,,"Cyclone Mobile Care",200637,QC12-KA,"QC MIG",Oct'17,31-03-2021,105810,0,INR,UNAPP,
,,,,"Orient Bell",201855,QC12-KA,"QC MIG",11662,31-03-2021,5500,0,INR,UNAPP,
,,,,"Regenersis India",202105,QC12-KA,"QC MIG",QCCORP5330201718,31-03-2021,6639,0,INR,UNAPP,
,,,,"Wells Fargo India Solutions",202741,QC12-KA,"QC MIG",43059,31-03-2021,15377.03,0,INR,UNAPP,
,,,,"Spring Productions",202378,QC12-KA,"QC MIG",43080,31-03-2021,100000,0,INR,UNAPP,
,,,,"Airbus Group India Pvt Ltd",200090,QC12-KA,"QC MIG",13572,31-03-2021,9925,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",15075,31-03-2021,64,0,INR,UNAPP,
,,,,"Tupperware India",202619,QC12-KA,"QC MIG",15255,31-03-2021,701.75,0,INR,UNAPP,
,,,,"Oppo Mobiles India",201850,QC12-KA,"QC MIG",QCAMZN4518201718,31-03-2021,24200,0,INR,UNAPP,
,,,,"Eshan Evnets & Greetings",200807,QC12-KA,"QC MIG",123,31-03-2021,28803.5,0,INR,UNAPP,
,,,,Kpmg,201436,QC12-KA,"QC MIG",Unallocated,31-03-2021,95119,0,INR,UNAPP,
,,,,Kpmg,201436,QC12-KA,"QC MIG","Agst TDS",31-03-2021,18320,0,INR,UNAPP,
,,,,Kpmg,201436,QC12-KA,"QC MIG",14-15/Mar/JV0693,31-03-2021,31406,0,INR,UNAPP,
,,,,"Jet Airways (I)",201343,QC12-KA,"QC MIG",1431,31-03-2021,134498,0,INR,UNAPP,
,,,,"Ifocus Systec India",201219,QC12-KA,"QC MIG",13.7.2015,31-03-2021,22531,0,INR,UNAPP,
,,,,"Fca India Automobiles",200863,QC12-KA,"QC MIG",2428,31-03-2021,389500,0,INR,UNAPP,
,,,,"Ao Smith",200220,QC12-KA,"QC MIG",09.09.2015,31-03-2021,22500,0,INR,UNAPP,
,,,,"Ibit Solutions",201199,QC12-KA,"QC MIG",9283,31-03-2021,26758,0,INR,UNAPP,
,,,,"Arvind Lifestyle Brands",200260,QC12-KA,"QC MIG",544,31-03-2021,115000,0,INR,UNAPP,
,,,,"Tango Card",202473,QC12-KA,"QC MIG",15983,31-03-2021,20029.39,0,INR,UNAPP,
,,,,"Cheervoucher Global Gifitng Solutions",200517,QC12-KA,"QC MIG",42494,31-03-2021,20231,0,INR,UNAPP,
,,,,"Vaibhav Stores",202670,QC12-KA,"QC MIG",42522,31-03-2021,83940,0,INR,UNAPP,
,,,,"Tententen Digital Products",202511,QC12-KA,"QC MIG",3061,31-03-2021,6600,0,INR,UNAPP,
,,,,"Jindal Infra Solutions",201346,QC12-KA,"QC MIG","Discount Jun'16",31-03-2021,64750,0,INR,UNAPP,
,,,,Telepathy,202507,QC12-KA,"QC MIG",4049,31-03-2021,18750,0,INR,UNAPP,
,,,,"Paradigm Infocom",201887,QC12-KA,"QC MIG",42591,31-03-2021,8000,0,INR,UNAPP,
,,,,Louis,201509,QC12-KA,"QC MIG",42628,31-03-2021,42500,0,INR,UNAPP,
